mca_preliminary_rank,company_name,latest_financial_year,total_wash_spend_crore,total_water_spend_crore,total_sanitation_spend_crore,states,nse_annual_report_status,bse_disclosure_status,csr_policy_status,brsr_status,latest_document_year,document_url,retrieved_on,ai_analysis_status
474,TANJORE POWER PRIVATE LIMITED,FY2024-25,0.4508797,0.4508797,0.0,Andhra Pradesh,PENDING,PENDING,PENDING,PENDING,,,,PENDING
475,OM JEWELLERS PRIVATE LIMITED,FY2024-25,0.5590341,0.2500841,0.30895,Maharashtra,PENDING,PENDING,PENDING,PENDING,,,,PENDING
476,AROHAN FINANCIAL SERVICES LIMITED,FY2020-21,1.30749,0.7521283,0.5553617,"Jharkhand, Pan India, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
477,DDP SPECIALITY PRODUCTS INDIA PRIVATE LIMITED,FY2024-25,0.313602354,0.250001519,0.063600835,"Maharashtra, Tamil Nadu, Telangana",PENDING,PENDING,PENDING,PENDING,,,,PENDING
478,ATRIA CONVERGENCE TECHNOLOGIES LIMITED,FY2020-21,0.7090000000000001,0.384,0.325,"Karnataka, Pan India",PENDING,PENDING,PENDING,PENDING,,,,PENDING
479,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,FY2021-22,2.657,0.5,2.157,"Rajasthan, Telangana",PENDING,PENDING,PENDING,PENDING,,,,PENDING
480,TATA AUTOCOMP HENDRICKSON SUSPENSIONS PRIVATE LIMITED,FY2024-25,0.447,0.447,0.0,Maharashtra,PENDING,PENDING,PENDING,PENDING,,,,PENDING
481,L&T TECHNOLOGY SERVICES LIMITED,FY2023-24,1.16,1.0,0.16,"Karnataka, Pan India",PENDING,PENDING,PENDING,PENDING,,,,PENDING
482,TOYO ENGINEERING INDIA PRIVATE LIMITED,FY2023-24,0.5423526000000001,0.17,0.3723526,"Maharashtra, Rajasthan, Uttar Pradesh",PENDING,PENDING,PENDING,PENDING,,,,PENDING
483,HINDUJA RENEWABLES ENERGY PRIVATE LIMITED,FY2024-25,0.2989,0.2989,0.0,"Maharashtra, Pan India, Rajasthan, Tamil Nadu",PENDING,PENDING,PENDING,PENDING,,,,PENDING
