"Company Name","Financial Year",PSU/Non-PSU,"CSR State","CSR Development Sector","CSR Sub Development Sector","Project Amount Spent (In INR Cr.)"
"Indian Oil Corpn. Limited","FY 2014-15",PSU,"PAN India","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",29.48
"Sansera Engineering Private Limited","FY 2014-15",Non-PSU,Karnataka,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.07
"Mazagon Dock Shipbuilders Limited","FY 2014-15",PSU,Maharashtra,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",1.0
"Tata Coffee Limited","FY 2014-15",Non-PSU,"PAN India","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.16
"Cholamandalam Ms General Insurance Company Limited","FY 2014-15",Non-PSU,"Tamil Nadu","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.05
"Jubilant Energy (Kharsang) Private Limited","FY 2014-15",Non-PSU,"Arunachal Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.08
"Honda Motorcycle And Scooter India Pvt Ltd","FY 2014-15",Non-PSU,Haryana,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.01
"Gaursons Promoters Private Limited","FY 2014-15",Non-PSU,"Uttar Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.04
"Kifs Securities Private Limited","FY 2014-15",Non-PSU,Gujarat,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.02
"Sabic Innovative Plastics India Private Limited","FY 2014-15",Non-PSU,Gujarat,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.05
"Indian Steel Corporation Limited","FY 2014-15",Non-PSU,Gujarat,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.02
"Nokia India Sales Private Limited","FY 2014-15",Non-PSU,"West Bengal","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.17
"Nokia India Sales Private Limited","FY 2014-15",Non-PSU,"Uttar Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.94
"Ultra International Limited","FY 2014-15",Non-PSU,Rajasthan,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.06
"Praj Industries Limited","FY 2014-15",Non-PSU,Maharashtra,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.11
"Godawari Power And Ispat Limited","FY 2014-15",Non-PSU,Chhattisgarh,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.11
"Gaursons Hi-Tech Infrastructure Private Limited","FY 2014-15",Non-PSU,"Uttar Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.18
"Gaursons India Limited","FY 2014-15",Non-PSU,"Uttar Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.01
"Gaursons Promoters Private Limited","FY 2014-15",Non-PSU,"Uttar Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.08
"Odisha State Beverages Corporation Limited","FY 2014-15",PSU,Odisha,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.43
"South West Port Limited","FY 2014-15",Non-PSU,Goa,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.13
"Omax Autos Limited","FY 2014-15",Non-PSU,Haryana,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.02
"Godawari Power And Ispat Limited","FY 2014-15",Non-PSU,Chhattisgarh,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.24
"Larsen And Toubro Limited","FY 2014-15",Non-PSU,"PAN India","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",2.89
"Newsmen Associates Ltd","FY 2014-15",Non-PSU,"Tamil Nadu","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.03
"Honeycomb Logistics Private Limited","FY 2014-15",Non-PSU,"Jammu And Kashmir","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.26
"Microsoft Corporation (India) Pvt Ltd","FY 2014-15",Non-PSU,Assam,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.06
"The Walt Disney Company (India) Private Limited","FY 2014-15",Non-PSU,Delhi,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.73
"United Home Entertainment Private Limited","FY 2014-15",Non-PSU,Delhi,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.35
"Laurus Labs Private Limited","FY 2014-15",Non-PSU,"Andhra Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.01
"Vaibhav Empire Private Limited","FY 2014-15",Non-PSU,"Andhra Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.01
"Organic India Private Limited","FY 2014-15",Non-PSU,"Uttar Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.05
"Welspun India Limited","FY 2014-15",Non-PSU,Gujarat,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.02
"U A E Exchange And Financial Services Limited","FY 2014-15",Non-PSU,"Tamil Nadu","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"U A E Exchange And Financial Services Limited","FY 2014-15",Non-PSU,Telangana,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"U A E Exchange And Financial Services Limited","FY 2014-15",Non-PSU,"Andhra Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"Venco Research And Breeding Farm Private  Limited","FY 2014-15",Non-PSU,Maharashtra,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.36
"Craftsman Automation Private Limited","FY 2014-15",Non-PSU,"Tamil Nadu","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"Louis Dreyfus Commodities India Private Limited","FY 2014-15",Non-PSU,"Andhra Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"Tata Housing Development Company Limited","FY 2014-15",Non-PSU,Maharashtra,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.1
"Fedders Lloyd Corporation Limited","FY 2014-15",Non-PSU,Delhi,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"Welspun India Limited","FY 2014-15",Non-PSU,Gujarat,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.01
"Kumar Organic Products Limited","FY 2014-15",Non-PSU,Karnataka,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.02
"Voltas Limited","FY 2014-15",Non-PSU,"Jammu And Kashmir","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.2
"Grainotch Industries Limited","FY 2014-15",Non-PSU,Maharashtra,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.22
"Desiccant Rotors International Private Limited","FY 2014-15",Non-PSU,Rajasthan,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.03
"Siemens Limited","FY 2014-15",Non-PSU,Maharashtra,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.2
"Pjl Clothing (India) Private Limited","FY 2014-15",Non-PSU,"Uttar Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"Ngk Spark Plugs (India) Private Limited","FY 2014-15",Non-PSU,Haryana,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.01
"Gaursons India Limited","FY 2014-15",Non-PSU,"Uttar Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.01
"Newgen Knowledge Works Private Limited","FY 2014-15",Non-PSU,"Tamil Nadu","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.05
"South Asia Lpg Company Private Limited","FY 2014-15",Non-PSU,"Andhra Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.64
